Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
100254,5.51,5.414,5.183,5.2985,0.2115,4.376,1.134,0.096,0.327
108601,3.17,3.917,4.675,4.296,1.126,4.376,1.206,0.747,1.505
109999,1.98,3.824,3.398,3.611,1.631,4.376,2.396,1.844,1.418
110496,4.53,2.856,2.912,2.884,1.646,4.376,0.154,1.674,1.618
111991094,3.23,4.299,4.129,4.214,0.984,4.376,1.146,1.069,0.899
121824,5.68,4.04,4.252,4.146,1.534,4.376,1.304,1.64,1.428
123308,2.9,4.901,3.871,4.386,1.486,4.376,1.476,2.001,0.971
131807573,6.48,4.408,4.168,4.288,2.192,4.376,2.104,2.072,2.312
140578,5.95,4.483,5.062,4.7725,1.1775,4.376,1.574,1.467,0.888
25057890,4.8,4.081,4.618,4.3495,0.4505,4.376,0.424,0.719,0.182
2691410,3.39,3.901,4.191,4.046,0.656,4.376,0.986,0.511,0.801
58902,4.02,5.704,5.556,5.63,1.61,4.376,0.356,1.684,1.536
60348609,6.12,5.773,5.931,5.852,0.268,4.376,1.744,0.347,0.189
608935,5.24,5.491,5.501,5.496,0.256,4.376,0.864,0.251,0.261
630206,3.63,4.467,4.755,4.611,0.981,4.376,0.746,0.837,1.125
67561,1.3,3.973,3.521,3.747,2.447,4.376,3.076,2.673,2.221
74908,4.65,4.818,4.002,4.41,0.24,4.376,0.274,0.168,0.648
75274,5.08,4.907,,4.907,0.173,4.376,0.704,0.173,5.08
79005,4.99,4.316,4.116,4.216,0.774,4.376,0.614,0.674,0.874
79622596,4.38,4.893,4.734,4.8135,0.4335,4.376,0.004,0.513,0.354
8003347,3.79,4.038,4.567,4.3025,0.5125,4.376,0.586,0.248,0.777
83329,3,3.551,3.336,3.4435,0.4435,4.376,1.376,0.551,0.336
85449,2.34,4.116,4.065,4.0905,1.7505,4.376,2.036,1.776,1.725
88722,3.47,4.86,4.827,4.8435,1.3735,4.376,0.906,1.39,1.357
91576,4.23,3.908,3.643,3.7755,0.4545,4.376,0.146,0.322,0.587
95943,6.95,5.376,5.466,5.421,1.529,4.376,2.574,1.574,1.484
96128,6.2,4.443,4.998,4.7205,1.4795,4.376,1.824,1.757,1.202
99354,5.39,5.167,4.859,5.013,0.377,4.376,1.014,0.223,0.531
100210,2.51,3.665,4.658,4.1615,1.6515,4.376,1.866,1.155,2.148
108054,1.43,3.856,3.97,3.913,2.483,4.376,2.946,2.426,2.54
108861,4.54,4.452,4.405,4.4285,0.1115,4.376,0.164,0.088,0.135
110861,5.02,4.56,3.739,4.1495,0.8705,4.376,0.644,0.46,1.281
111900,3.02,3.357,3.556,3.4565,0.4365,4.376,1.356,0.337,0.536
115297,5.97,5.677,5.61,5.6435,0.3265,4.376,1.594,0.293,0.36
120832,6.58,4.199,4.828,4.5135,2.0665,4.376,2.204,2.381,1.752
124481,5.09,5.069,,5.069,0.021,4.376,0.714,0.021,5.09
129000,3.18,4.528,3.972,4.25,1.07,4.376,1.196,1.348,0.792
422556089,2.91,4.409,4.475,4.442,1.532,4.376,1.466,1.499,1.565
42576023,5.71,5.432,5.272,5.352,0.358,4.376,1.334,0.278,0.438
479458,3.47,5.261,5.034,5.1475,1.6775,4.376,0.906,1.791,1.564
505293,4.08,4.413,4.016,4.2145,0.1345,4.376,0.296,0.333,0.064
591786,3.63,2.637,2.609,2.623,1.007,4.376,0.746,0.993,1.021
67721,5.51,5.405,5.428,5.4165,0.0935,4.376,1.134,0.105,0.082
71556,2.05,4.52,,4.52,2.47,4.376,2.326,2.47,2.05
74839,5.4,4.279,3.558,3.9185,1.4815,4.376,1.024,1.121,1.842
75865,4.43,3.002,3.454,3.228,1.202,4.376,0.054,1.428,0.976
77474,4.68,5.813,5.8,5.8065,1.1265,4.376,0.304,1.133,1.12
79016,3.89,5.129,4.479,4.804,0.914,4.376,0.486,1.239,0.589
79061,6.33,4.251,3.837,4.044,2.286,4.376,1.954,2.079,2.493
79345,4.26,4.857,5.112,4.9845,0.7245,4.376,0.116,0.597,0.852
84742,3.41,4.474,5.14,4.807,1.397,4.376,0.966,1.064,1.73
85687,3.24,4.228,5.089,4.6585,1.4185,4.376,1.136,0.988,1.849
87865,6.13,4.482,5.007,4.7445,1.3855,4.376,1.754,1.648,1.123
95578,5.26,4.026,4.079,4.0525,1.2075,4.376,0.884,1.234,1.181
98953,4.83,4.91,4.201,4.5555,0.2745,4.376,0.454,0.08,0.629
100425,3.75,3.646,3.876,3.761,0.011,4.376,0.626,0.104,0.126
103231,4.28,4.246,4.089,4.1675,0.1125,4.376,0.096,0.034,0.191
105602,1.55,4.416,3.791,4.1035,2.5535,4.376,2.826,2.866,2.241
106376,4.89,5.025,5.043,5.034,0.144,4.376,0.514,0.135,0.153
108883,3.24,3.813,3.876,3.8445,0.6045,4.376,1.136,0.573,0.636
108918,3.42,4.774,3.66,4.217,0.797,4.376,0.956,1.354,0.24
108985,4.58,4.182,4.066,4.124,0.456,4.376,0.204,0.398,0.514
110543,2.1,3.776,3.236,3.506,1.406,4.376,2.276,1.676,1.136
111159,2.57,3.644,3.811,3.7275,1.1575,4.376,1.806,1.074,1.241
111911,4.71,3.947,4.303,4.125,0.585,4.376,0.334,0.763,0.407
112281773,4.11,4.911,4.767,4.839,0.729,4.376,0.266,0.801,0.657
1330207,3.2,3.801,3.644,3.7225,0.5225,4.376,1.176,0.601,0.444
13674878,5.05,4.506,5.146,4.826,0.224,4.376,0.674,0.544,0.096
142289,3.53,4.527,3.963,4.245,0.715,4.376,0.846,0.997,0.433
150505,6.6,5.369,5.364,5.3665,1.2335,4.376,2.224,1.231,1.236
175013180,5.12,4.07,5.173,4.6215,0.4985,4.376,0.744,1.05,0.053
542756,4.48,4.63,4.031,4.3305,0.1495,4.376,0.104,0.15,0.449
75252,5.42,4.987,,4.987,0.433,4.376,1.044,0.433,5.42
75354,5.27,4.128,,4.128,1.142,4.376,0.894,1.142,5.27
78422,3.92,4.864,4.85,4.857,0.937,4.376,0.456,0.944,0.93
78591,2.94,3.866,3.812,3.839,0.899,4.376,1.436,0.926,0.872
80079,6.13,4.474,5.338,4.906,1.224,4.376,1.754,1.656,0.792
84720,6.07,3.36,4.183,3.7715,2.2985,4.376,1.694,2.71,1.887
86737,3.03,3.43,3.637,3.5335,0.5035,4.376,1.346,0.4,0.607
87683,6.36,5.042,5.366,5.204,1.156,4.376,1.984,1.318,0.994
88733,5.72,5.103,5.22,5.1615,0.5585,4.376,1.344,0.617,0.5
99650,5.51,5.365,5.344,5.3545,0.1555,4.376,1.134,0.145,0.166
100005,5.72,5.29,5.401,5.3455,0.3745,4.376,1.344,0.43,0.319
106934,3.97,5.129,4.783,4.956,0.986,4.376,0.406,1.159,0.813
107211,2.16,3.285,3.224,3.2545,1.0945,4.376,2.216,1.125,1.064
108101,2.65,3.298,3.362,3.33,0.68,4.376,1.726,0.648,0.712
109693,3.76,3.925,3.675,3.8,0.04,4.376,0.616,0.165,0.085
109864,4.34,3.151,2.965,3.058,1.282,4.376,0.036,1.189,1.375
112345,3.3,3.373,3.456,3.4145,0.1145,4.376,1.076,0.073,0.156
115968,4.58,4.14,5.091,4.6155,0.0355,4.376,0.204,0.44,0.511
121142,5.46,4.603,5.226,4.9145,0.5455,4.376,1.084,0.857,0.234
126987,4.17,4.391,4.167,4.279,0.109,4.376,0.206,0.221,0.003
145701231,5.06,4.177,4.407,4.292,0.768,4.376,0.684,0.883,0.653
2385855,6.39,5.58,5.55,5.565,0.825,4.376,2.014,0.81,0.84
32536520,6.08,5.164,5.544,5.354,0.726,4.376,1.704,0.916,0.536
5436431,6.14,4.997,5.819,5.408,0.732,4.376,1.764,1.143,0.321
556887,3.05,5.184,4.592,4.888,1.838,4.376,1.326,2.134,1.542
606202,5.13,4.703,5.176,4.9395,0.1905,4.376,0.754,0.427,0.046
615543,5.3,5.059,5.561,5.31,0.01,4.376,0.924,0.241,0.261
67641,1.82,3.989,,3.989,2.169,4.376,2.556,2.169,1.82
68122,3.45,4.342,3.402,3.872,0.422,4.376,0.926,0.892,0.048
68157608,3.58,4.777,4.98,4.8785,1.2985,4.376,0.796,1.197,1.4
75092,3.21,4.795,4.601,4.698,1.488,4.376,1.166,1.585,1.391
75990,4.48,3.943,4.432,4.1875,0.2925,4.376,0.104,0.537,0.048
78488,6.62,5.331,5.431,5.381,1.239,4.376,2.244,1.289,1.189
78875,2.96,4.26,4.427,4.3435,1.3835,4.376,1.416,1.3,1.467
79436,4.93,4.093,4.367,4.23,0.7,4.376,0.554,0.837,0.563
96184,5.51,4.643,4.55,4.5965,0.9135,4.376,1.134,0.867,0.96
98566,4.78,4.628,4.973,4.8005,0.0205,4.376,0.404,0.152,0.193
100016,5.35,4.447,3.571,4.009,1.341,4.376,0.974,0.903,1.779
104518,2.99,3.573,3.256,3.4145,0.4245,4.376,1.386,0.583,0.266
105511964,6.1,4.737,4.941,4.839,1.261,4.376,1.724,1.363,1.159
106478,4.51,4.482,4.899,4.6905,0.1805,4.376,0.134,0.028,0.389
108952,2.88,4.49,3.516,4.003,1.123,4.376,1.496,1.61,0.636
110009,4,5.039,3.38,4.2095,0.2095,4.376,0.376,1.039,0.62
111762,3.34,3.372,3.144,3.258,0.082,4.376,1.036,0.032,0.196
118741,5.21,5.623,5.734,5.6785,0.4685,4.376,0.834,0.413,0.524
123739,4.37,3.74,3.692,3.716,0.654,4.376,0.006,0.63,0.678
12789036,6.66,4.905,5.823,5.364,1.296,4.376,2.284,1.755,0.837
131983727,3.61,4.238,5.509,4.8735,1.2635,4.376,0.766,0.628,1.899
135410207,5.68,3.825,4.303,4.064,1.616,4.376,1.304,1.855,1.377
206440,3.21,3.308,3.918,3.613,0.403,4.376,1.166,0.098,0.708
239110157,4.2,4.314,4.945,4.6295,0.4295,4.376,0.176,0.114,0.745
309002,6.48,4.705,5.65,5.1775,1.3025,4.376,2.104,1.775,0.83
460195,4.99,3.716,2.883,3.2995,1.6905,4.376,0.614,1.274,2.107
50000,3.1,4.737,2.896,3.8165,0.7165,4.376,1.276,1.637,0.204
528290,5.51,5.281,5.319,5.3,0.21,4.376,1.134,0.229,0.191
57249,5.74,4.029,4.944,4.4865,1.2535,4.376,1.364,1.711,0.796
67663,5.07,4.65,,4.65,0.42,4.376,0.694,0.42,5.07
75569,4.62,3.314,2.941,3.1275,1.4925,4.376,0.244,1.306,1.679
78831,2.33,3.298,3.318,3.308,0.978,4.376,2.046,0.968,0.988
78922,1.85,3.354,3.086,3.22,1.37,4.376,2.526,1.504,1.236
79118,3.46,4.385,4.037,4.211,0.751,4.376,0.916,0.925,0.577
90120,3.79,3.874,3.8,3.837,0.047,4.376,0.586,0.084,0.01
96457,6.15,4.259,3.561,3.91,2.24,4.376,1.774,1.891,2.589
99990,4.79,3.957,3.76,3.8585,0.9315,4.376,0.414,0.833,1.03
