Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
67561,1.13,3.605,3.455,3.53,2.4,4.02,2.89,2.475,2.325
108054,1.24,3.783,4.076,3.9295,2.6895,4.02,2.78,2.543,2.836
105602,1.41,3.765,2.922,3.3435,1.9335,4.02,2.61,2.355,1.512
110543,1.47,3.205,2.925,3.065,1.595,4.02,2.55,1.735,1.455
71556,1.64,4.007,,4.007,2.367,4.02,2.38,2.367,1.64
67641,1.69,3.29,,3.29,1.6,4.02,2.33,1.6,1.69
78922,1.7,2.759,2.562,2.6605,0.9605,4.02,2.32,1.059,0.862
109999,1.88,3.447,2.862,3.1545,1.2745,4.02,2.14,1.567,0.982
78831,2,2.323,2.771,2.547,0.547,4.02,2.02,0.323,0.771
107211,2.11,3.453,3.323,3.388,1.278,4.02,1.91,1.343,1.213
85449,2.16,4.036,3.724,3.88,1.72,4.02,1.86,1.876,1.564
100210,2.25,3.491,4.067,3.779,1.529,4.02,1.77,1.241,1.817
111159,2.45,3.344,3.481,3.4125,0.9625,4.02,1.57,0.894,1.031
123308,2.51,4.475,3.463,3.969,1.459,4.02,1.51,1.965,0.953
111900,2.51,3.072,3.062,3.067,0.557,4.02,1.51,0.562,0.552
108101,2.56,2.633,2.764,2.6985,0.1385,4.02,1.46,0.073,0.204
422556089,2.69,4.01,4.174,4.092,1.402,4.02,1.33,1.32,1.484
78591,2.72,3.408,3.431,3.4195,0.6995,4.02,1.3,0.688,0.711
104518,2.74,3.252,3.12,3.186,0.446,4.02,1.28,0.512,0.38
83329,2.75,3.596,3.155,3.3755,0.6255,4.02,1.27,0.846,0.405
108952,2.79,3.687,3.467,3.577,0.787,4.02,1.23,0.897,0.677
108601,2.81,3.339,4.072,3.7055,0.8955,4.02,1.21,0.529,1.262
84742,2.82,3.287,3.991,3.639,0.819,4.02,1.2,0.467,1.171
78875,2.82,4.287,4.172,4.2295,1.4095,4.02,1.2,1.467,1.352
556887,2.83,4.463,3.795,4.129,1.299,4.02,1.19,1.633,0.965
112345,2.86,3.181,3.077,3.129,0.269,4.02,1.16,0.321,0.217
1330207,2.87,3.384,3.128,3.256,0.386,4.02,1.15,0.514,0.258
79016,2.91,4.453,4.166,4.3095,1.3995,4.02,1.11,1.543,1.256
86737,2.94,3.123,3.444,3.2835,0.3435,4.02,1.08,0.183,0.504
129000,2.94,4.24,3.67,3.955,1.015,4.02,1.08,1.3,0.73
