Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
117102,4.26,3.905,4.574,4.2395,0.0205,5.17,0.91,0.355,0.314
53963,5.93,4.049,4.862,4.4555,1.4745,5.17,0.76,1.881,1.068
10048132,7.05,5.101,6.319,5.71,1.34,5.17,1.88,1.949,0.731
100447,4.34,3.911,3.883,3.897,0.443,5.17,0.83,0.429,0.457
107131,4.72,4.114,3.958,4.036,0.684,5.17,0.45,0.606,0.762
124481,4.29,4.002,,4.002,0.288,5.17,0.88,0.288,4.29
121142,4.8,4.211,4.63,4.4205,0.3795,5.17,0.37,0.589,0.17
75343,2.75,3.927,,3.927,1.177,5.17,2.42,1.177,2.75
79005,3.98,4.057,4.069,4.063,0.083,5.17,1.19,0.077,0.089
57578,6,3.912,4.318,4.115,1.885,5.17,0.83,2.088,1.682
106478,5.38,3.951,3.94,3.9455,1.4345,5.17,0.21,1.429,1.44
67663,3.62,4,,4,0.38,5.17,1.55,0.38,3.62
127184,3.91,4.064,4.208,4.136,0.226,5.17,1.26,0.154,0.298
62555,5.66,4.113,,4.113,1.547,5.17,0.49,1.547,5.66
86748,4.45,4.371,4.82,4.5955,0.1455,5.17,0.72,0.079,0.37
129157,6.06,4.269,4.841,4.555,1.505,5.17,0.89,1.791,1.219
116006974,3.46,4.563,4.758,4.6605,1.2005,5.17,1.71,1.103,1.298
1634044,2.2,4.571,4.327,4.449,2.249,5.17,2.97,2.371,2.127
99592,4.07,4.455,4.661,4.558,0.488,5.17,1.1,0.385,0.591
3068880,4.93,4.287,4.679,4.483,0.447,5.17,0.24,0.643,0.251
151564,6.45,4.32,3.981,4.1505,2.2995,5.17,1.28,2.13,2.469
72559,5.04,4.668,4.866,4.767,0.273,5.17,0.13,0.372,0.174
123911,3.31,5.129,4.672,4.9005,1.5905,5.17,1.86,1.819,1.362
531828,5.58,5.243,5.44,5.3415,0.2385,5.17,0.41,0.337,0.14
389082,3.76,5.255,5.155,5.205,1.445,5.17,1.41,1.495,1.395
838880,5.32,5.487,5.774,5.6305,0.3105,5.17,0.15,0.167,0.454
50180,5.2,5.399,5.791,5.595,0.395,5.17,0.03,0.199,0.591
26148685,3.86,5.454,5.466,5.46,1.6,5.17,1.31,1.594,1.606
94780,4.56,5.413,5.72,5.5665,1.0065,5.17,0.61,0.853,1.16
2475458,3.08,5.584,5.822,5.703,2.623,5.17,2.09,2.504,2.742
115026,6.28,5.658,5.306,5.482,0.798,5.17,1.11,0.622,0.974
1116547,5.5,5.719,5.835,5.777,0.277,5.17,0.33,0.219,0.335
59870,5.41,5.68,5.659,5.6695,0.2595,5.17,0.24,0.27,0.249
540738,7.52,5.58,5.014,5.297,2.223,5.17,2.35,1.94,2.506
55185,6.55,5.898,6.069,5.9835,0.5665,5.17,1.38,0.652,0.481
305033,8.13,5.963,5.155,5.559,2.571,5.17,2.96,2.167,2.975
1694093,4.17,6.122,,6.122,1.952,5.17,1,1.952,4.17
76448,6.11,6.032,6.223,6.1275,0.0175,5.17,0.94,0.078,0.113
57749,5.75,6.292,6.383,6.3375,0.5875,5.17,0.58,0.542,0.633
57976,7.81,6.488,6.649,6.5685,1.2415,5.17,2.64,1.322,1.161
143500,6.89,6.151,6.771,6.461,0.429,5.17,1.72,0.739,0.119
56495,6.77,6.352,6.856,6.604,0.166,5.17,1.6,0.418,0.086
205823,6.19,6.469,6.567,6.518,0.328,5.17,1.02,0.279,0.377
117817,2.95,6.717,5.932,6.3245,3.3745,5.17,2.22,3.767,2.982
315220,6.51,6.395,6.086,6.2405,0.2695,5.17,1.34,0.115,0.424
51796,4.95,3.893,4.342,4.1175,0.8325,5.17,0.22,1.057,0.608
2425061,4.72,4.094,5.412,4.753,0.033,5.17,0.45,0.626,0.692
111444,5.52,3.864,4.196,4.03,1.49,5.17,0.35,1.656,1.324
75003,2.48,4.085,4.171,4.128,1.648,5.17,2.69,1.605,1.691
1120714,5.47,4.285,4.298,4.2915,1.1785,5.17,0.3,1.185,1.172
120718,4.31,4.002,4.281,4.1415,0.1685,5.17,0.86,0.308,0.029
75274,4.36,3.848,,3.848,0.512,5.17,0.81,0.512,4.36
563473,4.1,4.488,3.963,4.2255,0.1255,5.17,1.07,0.388,0.137
122667,5.2,4.547,5.074,4.8105,0.3895,5.17,0.03,0.653,0.126
542563,3.99,4.424,4.36,4.392,0.402,5.17,1.18,0.434,0.37
71432,3.93,4.343,4.144,4.2435,0.3135,5.17,1.24,0.413,0.214
271896,4.87,4.325,4.303,4.314,0.556,5.17,0.3,0.545,0.567
94586,3.86,4.821,4.479,4.65,0.79,5.17,1.31,0.961,0.619
133073,3.01,4.365,4.265,4.315,1.305,5.17,2.16,1.355,1.255
26471625,3.83,4.465,5.158,4.8115,0.9815,5.17,1.34,0.635,1.328
107051,3.2,4.614,4.65,4.632,1.432,5.17,1.97,1.414,1.45
95807,5.67,4.232,4.125,4.1785,1.4915,5.17,0.5,1.438,1.545
542881,6.6,4.187,4.578,4.3825,2.2175,5.17,1.43,2.413,2.022
156105,3.64,4.231,4.987,4.609,0.969,5.17,1.53,0.591,1.347
95692,4.58,4.386,4.22,4.303,0.277,5.17,0.59,0.194,0.36
90948,5.36,4.806,5.102,4.954,0.406,5.17,0.19,0.554,0.258
822366,3.57,4.701,4.708,4.7045,1.1345,5.17,1.6,1.131,1.138
97563,5.93,4.883,5.384,5.1335,0.7965,5.17,0.76,1.047,0.546
3761533,3.33,5.138,5.531,5.3345,2.0045,5.17,1.84,1.808,2.201
72548,5.05,4.985,5.279,5.132,0.082,5.17,0.12,0.065,0.229
712685,6.53,5.09,5.17,5.13,1.4,5.17,1.36,1.44,1.36
15972608,4.18,5.057,5.172,5.1145,0.9345,5.17,0.99,0.877,0.992
76180966,5.59,5.5,5.366,5.433,0.157,5.17,0.42,0.09,0.224
126727,6.2,5.245,5.196,5.2205,0.9795,5.17,1.03,0.955,1.004
6109973,4.28,5.553,5.834,5.6935,1.4135,5.17,0.89,1.273,1.554
132274,2.76,5.289,5.069,5.179,2.419,5.17,2.41,2.529,2.309
16543558,5.39,5.882,5.447,5.6645,0.2745,5.17,0.22,0.492,0.057
3570750,5.77,5.699,5.21,5.4545,0.3155,5.17,0.6,0.071,0.56
4342034,6.95,5.924,5.282,5.603,1.347,5.17,1.78,1.026,1.668
108171262,4.49,6.019,5.679,5.849,1.359,5.17,0.68,1.529,1.189
684935,7.08,5.984,6.177,6.0805,0.9995,5.17,1.91,1.096,0.903
16568028,6,6.039,5.825,5.932,0.068,5.17,0.83,0.039,0.175
62759,6.11,6.084,5.749,5.9165,0.1935,5.17,0.94,0.026,0.361
309002,6.8,6.305,6.421,6.363,0.437,5.17,1.63,0.495,0.379
10595956,6.31,6.197,6.26,6.2285,0.0815,5.17,1.14,0.113,0.05
50077,9.44,6.364,6.658,6.511,2.929,5.17,4.27,3.076,2.782
50328,6.47,6.807,6.709,6.758,0.288,5.17,1.3,0.337,0.239
54749905,7.88,6.537,5.784,6.1605,1.7195,5.17,2.71,1.343,2.096
53703,6.06,7.159,7.282,7.2205,1.1605,5.17,0.89,1.099,1.222
189640,7.59,7.294,7.402,7.348,0.242,5.17,2.42,0.296,0.188
75218,4.19,4.006,4.837,4.4215,0.2315,5.17,0.98,0.184,0.647
62737,4.89,3.981,4.615,4.298,0.592,5.17,0.28,0.909,0.275
1897456,3.84,4.419,4.857,4.638,0.798,5.17,1.33,0.579,1.017
513371,3.61,4.26,4.045,4.1525,0.5425,5.17,1.56,0.65,0.435
95830,3.36,4.456,4.858,4.657,1.297,5.17,1.81,1.096,1.498
95534,4.28,4.706,4.069,4.3875,0.1075,5.17,0.89,0.426,0.211
1836755,4.37,4.538,4.949,4.7435,0.3735,5.17,0.8,0.168,0.579
96128,6.21,4.402,4.948,4.675,1.535,5.17,1.04,1.808,1.262
86306,3.24,4.556,5.515,5.0355,1.7955,5.17,1.93,1.316,2.275
492808,5.37,5.082,5.065,5.0735,0.2965,5.17,0.2,0.288,0.305
51525,5.23,4.893,4.959,4.926,0.304,5.17,0.06,0.337,0.271
56531,7.97,5.289,4.764,5.0265,2.9435,5.17,2.8,2.681,3.206
139139,3.01,5.133,5.416,5.2745,2.2645,5.17,2.16,2.123,2.406
79061,5.4,4.631,4.73,4.6805,0.7195,5.17,0.23,0.769,0.67
598550,2.52,4.654,5.087,4.8705,2.3505,5.17,2.65,2.134,2.567
2784943,4.11,5.256,5.829,5.5425,1.4325,5.17,1.06,1.146,1.719
95067,4.63,5.294,4.671,4.9825,0.3525,5.17,0.54,0.664,0.041
50293,5.09,4.914,5.083,4.9985,0.0915,5.17,0.08,0.176,0.007
62533,2.81,4.864,4.374,4.619,1.809,5.17,2.36,2.054,1.564
6108129,6,5.209,5.209,5.209,0.791,5.17,0.83,0.791,0.791
