Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
108601,3.23,3.437,4.269,3.853,0.623,4.48,1.25,0.207,1.039
79469,5.38,3.046,4.012,3.529,1.851,4.48,0.9,2.334,1.368
71432,2.78,3.12,3.107,3.1135,0.3335,4.48,1.7,0.34,0.327
98953,3.69,3.083,3.779,3.431,0.259,4.48,0.79,0.607,0.089
1897456,2.37,3.803,4.65,4.2265,1.8565,4.48,2.11,1.433,2.28
25013165,1.01,4.161,4.168,4.1645,3.1545,4.48,3.47,3.151,3.158
140578,3.38,4.723,5.077,4.9,1.52,4.48,1.1,1.343,1.697
62737,4.26,3.32,4.626,3.973,0.287,4.48,0.22,0.94,0.366
764410,5.72,3.507,3.994,3.7505,1.9695,4.48,1.24,2.213,1.726
542756,2.64,3.159,4.11,3.6345,0.9945,4.48,1.84,0.519,1.47
542881,6.85,3.821,4.442,4.1315,2.7185,4.48,2.37,3.029,2.408
117817,2.97,5.126,5.521,5.3235,2.3535,4.48,1.51,2.156,2.551
62442,2.05,4.47,4.047,4.2585,2.2085,4.48,2.43,2.42,1.997
156105,3.1,4.086,4.264,4.175,1.075,4.48,1.38,0.986,1.164
59870,4.86,4.014,4.631,4.3225,0.5375,4.48,0.38,0.846,0.229
531828,5.04,4.438,4.91,4.674,0.366,4.48,0.56,0.602,0.13
87683,3.75,3.199,4.608,3.9035,0.1535,4.48,0.73,0.551,0.858
60117,5.47,4.586,4.496,4.541,0.929,4.48,0.99,0.884,0.974
101611,3.52,5.012,4.925,4.9685,1.4485,4.48,0.96,1.492,1.405
510156,4,4.759,5.151,4.955,0.955,4.48,0.48,0.759,1.151
60344,4.66,4.655,4.426,4.5405,0.1195,4.48,0.18,0.005,0.234
72559,4.49,4.886,5.035,4.9605,0.4705,4.48,0.01,0.396,0.545
56531,7.43,4.777,4.816,4.7965,2.6335,4.48,2.95,2.653,2.614
92671,6.01,5.168,4.131,4.6495,1.3605,4.48,1.53,0.842,1.879
69782907,5.6,5.504,5.561,5.5325,0.0675,4.48,1.12,0.096,0.039
32598144,5.55,5.603,6.231,5.917,0.367,4.48,1.07,0.053,0.681
56495,6.23,5.366,5.344,5.355,0.875,4.48,1.75,0.864,0.886
53469219,5.22,5.73,5.449,5.5895,0.3695,4.48,0.74,0.51,0.229
57835924,4.43,4.751,4.933,4.842,0.412,4.48,0.05,0.321,0.503
2385855,6.44,5.611,5.789,5.7,0.74,4.48,1.96,0.829,0.651
88062,2.78,3.075,3.668,3.3715,0.5915,4.48,1.7,0.295,0.888
1634044,1.36,3.006,3.281,3.1435,1.7835,4.48,3.12,1.646,1.921
111444,4.67,3.585,4.115,3.85,0.82,4.48,0.19,1.085,0.555
75274,3.78,3.144,,3.144,0.636,4.48,0.7,0.636,3.78
593602,3.53,2.973,2.919,2.946,0.584,4.48,0.95,0.557,0.611
79005,3.32,3.526,3.169,3.3475,0.0275,4.48,1.16,0.206,0.151
100414,2.42,3.431,3.653,3.542,1.122,4.48,2.06,1.011,1.233
94597,4.01,3.36,3.586,3.473,0.537,4.48,0.47,0.65,0.424
107040,4.93,3.127,3.616,3.3715,1.5585,4.48,0.45,1.803,1.314
