Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
117817,3.74,3.759,4.03,3.8945,0.1545,5.02,1.28,0.019,0.29
75343,2.75,3.77,,3.77,1.02,5.02,2.27,1.02,2.75
75218,4.19,3.82,4.941,4.3805,0.1905,5.02,0.83,0.37,0.751
79016,3.26,3.947,4.012,3.9795,0.7195,5.02,1.76,0.687,0.752
961115,3.94,4.385,4.854,4.6195,0.6795,5.02,1.08,0.445,0.914
96093,4.28,4.004,4.397,4.2005,0.0795,5.02,0.74,0.276,0.117
56235,4.03,3.913,,3.913,0.117,5.02,0.99,0.117,4.03
75014,4.94,3.944,2.986,3.465,1.475,5.02,0.08,0.996,1.954
107200,4.32,3.773,4.483,4.128,0.192,5.02,0.7,0.547,0.163
111444,5.19,4.24,4.299,4.2695,0.9205,5.02,0.17,0.95,0.891
78875,3.91,4.446,4.202,4.324,0.414,5.02,1.11,0.536,0.292
95830,3.36,4.147,4.473,4.31,0.95,5.02,1.66,0.787,1.113
94586,3.86,4.715,4.381,4.548,0.688,5.02,1.16,0.855,0.521
156105,3.64,4.261,4.598,4.4295,0.7895,5.02,1.38,0.621,0.958
94597,4.55,4.392,4.376,4.384,0.166,5.02,0.47,0.158,0.174
634935,3.82,4.051,4.381,4.216,0.396,5.02,1.2,0.231,0.561
62555,5.66,4.108,,4.108,1.552,5.02,0.64,1.552,5.66
107302,5.28,4.372,4.765,4.5685,0.7115,5.02,0.26,0.908,0.515
87865,5.02,4.356,5.031,4.6935,0.3265,5.02,0,0.664,0.011
87627,2.88,4.435,4.311,4.373,1.493,5.02,2.14,1.555,1.431
99558,3.14,4.404,4.34,4.372,1.232,5.02,1.88,1.264,1.2
95681,4.38,4.641,4.288,4.4645,0.0845,5.02,0.64,0.261,0.092
91225,5.59,4.399,4.487,4.443,1.147,5.02,0.57,1.191,1.103
598550,2.52,4.284,4.841,4.5625,2.0425,5.02,2.5,1.764,2.321
1912249,4.69,4.911,4.936,4.9235,0.2335,5.02,0.33,0.221,0.246
90120,3.61,4.825,4.549,4.687,1.077,5.02,1.41,1.215,0.939
82688,4.88,4.538,4.857,4.6975,0.1825,5.02,0.14,0.342,0.023
77439760,6.14,4.443,4.816,4.6295,1.5105,5.02,1.12,1.697,1.324
3688537,4.77,4.951,4.97,4.9605,0.1905,5.02,0.25,0.181,0.2
106934,5.57,4.447,4.862,4.6545,0.9155,5.02,0.55,1.123,0.708
2784943,4.11,4.993,5.589,5.291,1.181,5.02,0.91,0.883,1.479
101144,4.42,5.005,5.583,5.294,0.874,5.02,0.6,0.585,1.163
101779,5.5,5.118,6.151,5.6345,0.1345,5.02,0.48,0.382,0.651
60117,6.02,5.129,5.275,5.202,0.818,5.02,1,0.891,0.745
492808,5.37,5.242,5.408,5.325,0.045,5.02,0.35,0.128,0.038
101611,4.07,5.208,5.414,5.311,1.241,5.02,0.95,1.138,1.344
759739,6.44,5.38,5.94,5.66,0.78,5.02,1.42,1.06,0.5
59870,5.41,5.199,5.571,5.385,0.025,5.02,0.39,0.211,0.161
139139,3.01,5.651,5.182,5.4165,2.4065,5.02,2.01,2.641,2.172
55738540,5.09,5.375,5.411,5.393,0.303,5.02,0.07,0.285,0.321
60571,6.78,6.035,6.325,6.18,0.6,5.02,1.76,0.745,0.455
108171262,4.49,5.751,5.707,5.729,1.239,5.02,0.53,1.261,1.217
70257,6.09,5.4,5.757,5.5785,0.5115,5.02,1.07,0.69,0.333
2385855,6.99,5.25,5.966,5.608,1.382,5.02,1.97,1.74,1.024
143500,6.69,5.245,5.988,5.6165,1.0735,5.02,1.67,1.445,0.702
684935,7.08,5.583,5.858,5.7205,1.3595,5.02,2.06,1.497,1.222
3570750,5.77,5.605,5.535,5.57,0.2,5.02,0.75,0.165,0.235
59892,5.89,5.756,5.512,5.634,0.256,5.02,0.87,0.134,0.378
78591,2.12,4.653,4.543,4.598,2.478,5.02,2.9,2.533,2.423
76448,6.22,5.982,5.913,5.9475,0.2725,5.02,1.2,0.238,0.307
65510443,6.1,6.078,6.184,6.131,0.031,5.02,1.08,0.022,0.084
315220,6.51,6.467,5.833,6.15,0.36,5.02,1.49,0.043,0.677
12674112,4.25,5.809,5.533,5.671,1.421,5.02,0.77,1.559,1.283
621647,5.96,6.127,5.613,5.87,0.09,5.02,0.94,0.167,0.347
62759,6.58,6.518,5.723,6.1205,0.4595,5.02,1.56,0.062,0.857
10595956,6.29,6.543,6.168,6.3555,0.0655,5.02,1.27,0.253,0.122
1596845,3.46,6.771,6.036,6.4035,2.9435,5.02,1.56,3.311,2.576
18883664,7.46,6.158,6.122,6.14,1.32,5.02,2.44,1.302,1.338
189559,7.63,7.098,7.176,7.137,0.493,5.02,2.61,0.532,0.454
3546109,7.98,6.211,6.628,6.4195,1.5605,5.02,2.96,1.769,1.352
121142,4.8,3.575,4.021,3.798,1.002,5.02,0.22,1.225,0.779
75070,2.53,3.717,3.977,3.847,1.317,5.02,2.49,1.187,1.447
99592,4.07,3.678,3.969,3.8235,0.2465,5.02,0.95,0.392,0.101
51796,4.95,3.88,4.124,4.002,0.948,5.02,0.07,1.07,0.826
118967,3.83,4.025,4.242,4.1335,0.3035,5.02,1.19,0.195,0.412
2425061,4.72,4.281,5.692,4.9865,0.2665,5.02,0.3,0.439,0.972
60355,3.62,4.01,,4.01,0.39,5.02,1.4,0.39,3.62
79345,4.52,4.056,4.17,4.113,0.407,5.02,0.5,0.464,0.35
107062,3.95,4.074,4.438,4.256,0.306,5.02,1.07,0.124,0.488
1634044,2.2,3.9,3.684,3.792,1.592,5.02,2.82,1.7,1.484
76017,4.25,4.144,4.481,4.3125,0.0625,5.02,0.77,0.106,0.231
116006974,3.46,4.02,4.074,4.047,0.587,5.02,1.56,0.56,0.614
107040,5.45,4.153,4.644,4.3985,1.0515,5.02,0.43,1.297,0.806
542756,4.04,4.038,4.963,4.5005,0.4605,5.02,0.98,0.002,0.923
127184,3.91,4.026,4.033,4.0295,0.1195,5.02,1.11,0.116,0.123
106898,2.96,4.457,4.724,4.5905,1.6305,5.02,2.06,1.497,1.764
122601,4.32,4.427,4.324,4.3755,0.0555,5.02,0.7,0.107,0.004
151564,6.45,4.439,4.113,4.276,2.174,5.02,1.43,2.011,2.337
123739,5.12,4.216,4.611,4.4135,0.7065,5.02,0.1,0.904,0.509
95807,5.67,4.018,4.36,4.189,1.481,5.02,0.65,1.652,1.31
79447,6.14,4.299,4.065,4.182,1.958,5.02,1.12,1.841,2.075
126738,3.38,4.606,4.138,4.372,0.992,5.02,1.64,1.226,0.758
75569,4.14,4.33,4.323,4.3265,0.1865,5.02,0.88,0.19,0.183
59961,5.97,4.882,5.106,4.994,0.976,5.02,0.95,1.088,0.864
117793,3.87,4.472,4.554,4.513,0.643,5.02,1.15,0.602,0.684
75558,6.15,4.441,4.34,4.3905,1.7595,5.02,1.13,1.709,1.81
50180,5.2,4.659,4.833,4.746,0.454,5.02,0.18,0.541,0.367
712685,6.53,4.775,5.358,5.0665,1.4635,5.02,1.51,1.755,1.172
87296,3.07,4.819,4.573,4.696,1.626,5.02,1.95,1.749,1.503
52244,6.36,4.646,5.413,5.0295,1.3305,5.02,1.34,1.714,0.947
115968,3.75,4.526,4.338,4.432,0.682,5.02,1.27,0.776,0.588
68006837,5.37,4.956,5.072,5.014,0.356,5.02,0.35,0.414,0.298
101804,4.45,5.122,5.564,5.343,0.893,5.02,0.57,0.672,1.114
75252,3.3,4.297,,4.297,0.997,5.02,1.72,0.997,3.3
61825,4.9,4.766,4.408,4.587,0.313,5.02,0.12,0.134,0.492
21725462,5.3,4.801,4.808,4.8045,0.4955,5.02,0.28,0.499,0.492
305033,8.13,5.377,5.107,5.242,2.888,5.02,3.11,2.753,3.023
94780,4.56,5.048,5.762,5.405,0.845,5.02,0.46,0.488,1.202
122349,4.38,4.922,4.721,4.8215,0.4415,5.02,0.64,0.542,0.341
91203,4.19,4.682,4.414,4.548,0.358,5.02,0.83,0.492,0.224
72559,5.03,5.013,5.327,5.17,0.14,5.02,0.01,0.017,0.297
103333,4.3,4.597,4.91,4.7535,0.4535,5.02,0.72,0.297,0.61
96457,3.66,5.042,4.776,4.909,1.249,5.02,1.36,1.382,1.116
139913,6.1,5.524,5.62,5.572,0.528,5.02,1.08,0.576,0.48
64091914,7.01,5.902,5.379,5.6405,1.3695,5.02,1.99,1.108,1.631
78422,3.14,5.181,4.227,4.704,1.564,5.02,1.88,2.041,1.087
319846,6.26,5.219,5.025,5.122,1.138,5.02,1.24,1.041,1.235
62450071,5.8,5.343,5.14,5.2415,0.5585,5.02,0.78,0.457,0.66
132274,2.76,5.274,4.837,5.0555,2.2955,5.02,2.26,2.514,2.077
555840,5.61,5.856,5.62,5.738,0.128,5.02,0.59,0.246,0.01
53963,5.93,5.167,5.222,5.1945,0.7355,5.02,0.91,0.763,0.708
540738,7.52,5.984,4.818,5.401,2.119,5.02,2.5,1.536,2.702
77094112,5.5,5.577,5.757,5.667,0.167,5.02,0.48,0.077,0.257
100754,6.03,5.914,5.554,5.734,0.296,5.02,1.01,0.116,0.476
59536651,6.74,5.635,5.63,5.6325,1.1075,5.02,1.72,1.105,1.11
1116547,5.57,5.991,5.725,5.858,0.288,5.02,0.55,0.421,0.155
615532,7.16,6.041,5.838,5.9395,1.2205,5.02,2.14,1.119,1.322
194592,7.79,6.375,6.458,6.4165,1.3735,5.02,2.77,1.415,1.332
309002,6.79,6.046,6.258,6.152,0.638,5.02,1.77,0.744,0.532
32598133,6.58,6.878,6.23,6.554,0.026,5.02,1.56,0.298,0.35
30560191,3.2,3.465,4.314,3.8895,0.6895,5.02,1.82,0.265,1.114
62737,4.8,3.693,3.871,3.782,1.018,5.02,0.22,1.107,0.929
85687,2.77,4.532,4.056,4.294,1.524,5.02,2.25,1.762,1.286
100447,4.33,4.005,3.855,3.93,0.4,5.02,0.69,0.325,0.475
26471625,3.83,4.319,4.569,4.444,0.614,5.02,1.19,0.489,0.739
66273,4.04,3.9,3.916,3.908,0.132,5.02,0.98,0.14,0.124
96184,6.64,4.101,4.395,4.248,2.392,5.02,1.62,2.539,2.245
75092,2.23,3.979,4.22,4.0995,1.8695,5.02,2.79,1.749,1.99
1120714,5.47,4.024,4.03,4.027,1.443,5.02,0.45,1.446,1.44
84651,3.92,4.209,4.642,4.4255,0.5055,5.02,1.1,0.289,0.722
67663,3.62,3.947,,3.947,0.327,5.02,1.4,0.327,3.62
79005,3.88,4.056,3.896,3.976,0.096,5.02,1.14,0.176,0.016
117102,4.26,4.198,5.014,4.606,0.346,5.02,0.76,0.062,0.754
88062,3.33,3.94,4.116,4.028,0.698,5.02,1.69,0.61,0.786
62566,4.74,4.516,,4.516,0.224,5.02,0.28,0.224,4.74
822366,3.57,4.318,4.659,4.4885,0.9185,5.02,1.45,0.748,1.089
2303164,4.22,4.575,4.745,4.66,0.44,5.02,0.8,0.355,0.525
95692,4.15,4.226,4.06,4.143,0.007,5.02,0.87,0.076,0.09
129157,6.06,4.341,5.289,4.815,1.245,5.02,1.04,1.719,0.771
62442,2.6,4.305,4.123,4.214,1.614,5.02,2.42,1.705,1.523
82280,4.55,4.32,5.411,4.8655,0.3155,5.02,0.47,0.23,0.861
86748,4.45,4.832,4.93,4.881,0.431,5.02,0.57,0.382,0.48
92671,6.55,5.203,3.999,4.601,1.949,5.02,1.53,1.347,2.551
95067,4.63,4.773,4.782,4.7775,0.1475,5.02,0.39,0.143,0.152
50282,7.03,4.308,6.388,5.348,1.682,5.02,2.01,2.722,0.642
50066,5.03,5.162,5.082,5.122,0.092,5.02,0.01,0.132,0.052
101906,5.58,4.469,4.472,4.4705,1.1095,5.02,0.56,1.111,1.108
86306,2.99,4.668,5.555,5.1115,2.1215,5.02,2.03,1.678,2.565
67721,3.97,4.607,4.865,4.736,0.766,5.02,1.05,0.637,0.895
838880,5.32,4.571,5.031,4.801,0.519,5.02,0.3,0.749,0.289
87683,4.3,4.553,4.998,4.7755,0.4755,5.02,0.72,0.253,0.698
118741,5.65,4.638,5.428,5.033,0.617,5.02,0.63,1.012,0.222
2475458,3.08,4.996,5.722,5.359,2.279,5.02,1.94,1.916,2.642
1582098,3.41,4.965,4.896,4.9305,1.5205,5.02,1.61,1.555,1.486
556525,4.98,4.1,4.237,4.1685,0.8115,5.02,0.04,0.88,0.743
140885,3.68,4.722,4.485,4.6035,0.9235,5.02,1.34,1.042,0.805
67730114,5.98,5.179,5.466,5.3225,0.6575,5.02,0.96,0.801,0.514
389082,3.76,5.685,5.084,5.3845,1.6245,5.02,1.26,1.925,1.324
62450060,6.74,5.288,5.411,5.3495,1.3905,5.02,1.72,1.452,1.329
446866,5.7,5.429,5.733,5.581,0.119,5.02,0.68,0.271,0.033
51525,5.23,5.19,4.717,4.9535,0.2765,5.02,0.21,0.04,0.513
569619,4.91,5.791,6.051,5.921,1.011,5.02,0.11,0.881,1.141
87843,4.07,5.385,5.932,5.6585,1.5885,5.02,0.95,1.315,1.862
50555,6.83,6.064,6.733,6.3985,0.4315,5.02,1.81,0.766,0.097
67458,5.93,5.647,5.595,5.621,0.309,5.02,0.91,0.283,0.335
11097691,5.81,5.835,6.665,6.25,0.44,5.02,0.79,0.025,0.855
16543558,5.39,5.847,5.635,5.741,0.351,5.02,0.37,0.457,0.245
39635319,6.18,5.792,6.058,5.925,0.255,5.02,1.16,0.388,0.122
55185,7.19,5.754,6.107,5.9305,1.2595,5.02,2.17,1.436,1.083
119937,6.37,5.64,5.347,5.4935,0.8765,5.02,1.35,0.73,1.023
671169,6.49,5.849,4.729,5.289,1.201,5.02,1.47,0.641,1.761
32598144,6.1,6.225,7.068,6.6465,0.5465,5.02,1.08,0.125,0.968
38380084,6.14,6.179,6.117,6.148,0.008,5.02,1.12,0.039,0.023
193395,5.52,6.307,6.733,6.52,1,5.02,0.5,0.787,1.213
121824,4.39,6.229,5.046,5.6375,1.2475,5.02,0.63,1.839,0.656
12789036,5.15,6.363,6.385,6.374,1.224,5.02,0.13,1.213,1.235
50328,6.26,6.695,6.302,6.4985,0.2385,5.02,1.24,0.435,0.042
57976,7.81,6.483,6.652,6.5675,1.2425,5.02,2.79,1.327,1.158
189640,7.59,7.122,7.207,7.1645,0.4255,5.02,2.57,0.468,0.383
50077,9.44,6.678,6.286,6.482,2.958,5.02,4.42,2.762,3.154
124481,4.24,3.893,,3.893,0.347,5.02,0.78,0.347,4.24
3068880,4.93,4.002,4.083,4.0425,0.8875,5.02,0.09,0.928,0.847
103231,2.65,4.612,4.166,4.389,1.739,5.02,2.37,1.962,1.516
95705,4.34,4.323,4.633,4.478,0.138,5.02,0.68,0.017,0.293
100016,3.44,3.877,3.965,3.921,0.481,5.02,1.58,0.437,0.525
57578,6,4.039,4.042,4.0405,1.9595,5.02,0.98,1.961,1.958
106467,3.71,3.83,3.925,3.8775,0.1675,5.02,1.31,0.12,0.215
122667,5.17,4.255,5.035,4.645,0.525,5.02,0.15,0.915,0.135
106478,4.4,3.751,3.955,3.853,0.547,5.02,0.62,0.649,0.445
1897456,3.84,4.237,4.997,4.617,0.777,5.02,1.18,0.397,1.157
100005,3,4.037,4.056,4.0465,1.0465,5.02,2.02,1.037,1.056
106990,5.26,4.223,4.821,4.522,0.738,5.02,0.24,1.037,0.439
1163195,2.82,4.392,6.24,5.316,2.496,5.02,2.2,1.572,3.42
271896,4.87,4.11,4.393,4.2515,0.6185,5.02,0.15,0.76,0.477
139651,6.51,4.731,5.195,4.963,1.547,5.02,1.49,1.779,1.315
107131,4.46,4.154,4.778,4.466,0.006,5.02,0.56,0.306,0.318
756796,2.32,3.753,4.212,3.9825,1.6625,5.02,2.7,1.433,1.892
79436,3.81,4.078,4.177,4.1275,0.3175,5.02,1.21,0.268,0.367
630206,3.63,4.144,4.296,4.22,0.59,5.02,1.39,0.514,0.666
542563,3.99,3.738,4.427,4.0825,0.0925,5.02,1.03,0.252,0.437
3761533,3.33,4.566,5.457,5.0115,1.6815,5.02,1.69,1.236,2.127
108601,4.08,4.333,4.803,4.568,0.488,5.02,0.94,0.253,0.723
91598,5.41,4.179,4.561,4.37,1.04,5.02,0.39,1.231,0.849
120718,4.31,4.031,4.152,4.0915,0.2185,5.02,0.71,0.279,0.158
79061,4.55,4.422,4.078,4.25,0.3,5.02,0.47,0.128,0.472
107051,3.2,4.28,4.529,4.4045,1.2045,5.02,1.82,1.08,1.329
140578,3.92,4.164,4.086,4.125,0.205,5.02,1.1,0.244,0.166
148185,4.66,4.605,4.772,4.6885,0.0285,5.02,0.36,0.055,0.112
75525,4.04,5.279,,5.279,1.239,5.02,0.98,1.239,4.04
10048132,7.05,4.766,6.73,5.748,1.302,5.02,2.03,2.284,0.32
56042,4.75,4.754,4.652,4.703,0.047,5.02,0.27,0.004,0.098
6109973,4.28,5.239,5.616,5.4275,1.1475,5.02,0.74,0.959,1.336
60568050,3.88,4.904,5.157,5.0305,1.1505,5.02,1.14,1.024,1.277
5216251,6.66,4.781,5.225,5.003,1.657,5.02,1.64,1.879,1.435
531828,5.58,4.432,5.367,4.8995,0.6805,5.02,0.56,1.148,0.213
509148,6.37,4.438,4.613,4.5255,1.8445,5.02,1.35,1.932,1.757
57835924,5.47,4.834,5.49,5.162,0.308,5.02,0.45,0.636,0.02
1694093,4.17,5.52,,5.52,1.35,5.02,0.85,1.35,4.17
118752,4.99,5.36,4.806,5.083,0.093,5.02,0.03,0.37,0.184
55630,3.59,4.613,4.306,4.4595,0.8695,5.02,1.43,1.023,0.716
205823,6.19,5.808,6.124,5.966,0.224,5.02,1.17,0.382,0.066
148823,7.6,5.519,5.677,5.598,2.002,5.02,2.58,2.081,1.923
11096825,5.85,6.05,6.024,6.037,0.187,5.02,0.83,0.2,0.174
69782907,6.14,6.069,6.047,6.058,0.082,5.02,1.12,0.071,0.093
924163,5.93,6.106,5.528,5.817,0.113,5.02,0.91,0.176,0.402
1937377,6.76,5.889,7.247,6.568,0.192,5.02,1.74,0.871,0.487
2602462,6.84,5.921,7.644,6.7825,0.0575,5.02,1.82,0.919,0.804
930552,5.32,6.063,5.722,5.8925,0.5725,5.02,0.3,0.743,0.402
205992,6.26,6.18,6.012,6.096,0.164,5.02,1.24,0.08,0.248
57465288,9.62,6.205,6.042,6.1235,3.4965,5.02,4.6,3.415,3.578
53469219,5.76,6.235,5.892,6.0635,0.3035,5.02,0.74,0.475,0.132
92524,3.09,6.085,4.508,5.2965,2.2065,5.02,1.93,2.995,1.418
54749905,7.88,6.405,5.399,5.902,1.978,5.02,2.86,1.475,2.481
91941,5.05,6.318,5.863,6.0905,1.0405,5.02,0.03,1.268,0.813
74472370,6.1,6.204,6.002,6.103,0.003,5.02,1.08,0.104,0.098
115286,5.55,6.162,5.418,5.79,0.24,5.02,0.53,0.612,0.132
8001352,5.65,5.997,6.005,6.001,0.351,5.02,0.63,0.347,0.355
1024573,6.55,6.159,6.076,6.1175,0.4325,5.02,1.53,0.391,0.474
53703,6.06,6.923,7.108,7.0155,0.9555,5.02,1.04,0.863,1.048
3697243,7.3,6.784,6.154,6.469,0.831,5.02,2.28,0.516,1.146
88733,4.67,3.684,3.846,3.765,0.905,5.02,0.35,0.986,0.824
512561,3.45,3.465,3.692,3.5785,0.1285,5.02,1.57,0.015,0.242
3564098,3.9,4.371,5.517,4.944,1.044,5.02,1.12,0.471,1.617
