Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
811972,3.11,5.044,6.479,5.7615,2.6515,6.72,3.61,1.934,3.369
75569,6.29,4.972,5.774,5.373,0.917,6.72,0.43,1.318,0.516
78922,3.39,4.837,4.964,4.9005,1.5105,6.72,3.33,1.447,1.574
106445,5.26,5.348,5.427,5.3875,0.1275,6.72,1.46,0.088,0.167
591786,6.52,4.897,5.127,5.012,1.508,6.72,0.2,1.623,1.393
78875,7.45,5.164,5.886,5.525,1.925,6.72,0.73,2.286,1.564
103651,5.08,5.495,5.836,5.6655,0.5855,6.72,1.64,0.415,0.756
109660,4.86,5.368,5.32,5.344,0.484,6.72,1.86,0.508,0.46
80626,5.16,5.724,5.771,5.7475,0.5875,6.72,1.56,0.564,0.611
110827,4.15,5.371,5.944,5.6575,1.5075,6.72,2.57,1.221,1.794
1634044,4.47,5.25,5.135,5.1925,0.7225,6.72,2.25,0.78,0.665
110805,5.65,5.859,5.825,5.842,0.192,6.72,1.07,0.209,0.175
126987,7.98,5.923,6.254,6.0885,1.8915,6.72,1.26,2.057,1.726
75865,6.15,5.491,6.118,5.8045,0.3455,6.72,0.57,0.659,0.032
71432,6.42,6.412,6.186,6.299,0.121,6.72,0.3,0.008,0.234
74953,7.63,6.516,6.299,6.4075,1.2225,6.72,0.91,1.114,1.331
75014,5.79,6.66,6.725,6.6925,0.9025,6.72,0.93,0.87,0.935
95476,6.03,6.047,5.887,5.967,0.063,6.72,0.69,0.017,0.143
79469,6.65,6.734,7.397,7.0655,0.4155,6.72,0.07,0.084,0.747
106934,7.31,6.882,6.694,6.788,0.522,6.72,0.59,0.428,0.616
121448,7.16,7.511,5.904,6.7075,0.4525,6.72,0.44,0.351,1.256
67721,6.9,7.518,6.887,7.2025,0.3025,6.72,0.18,0.618,0.013
92524,8.59,7.167,7.337,7.252,1.338,6.72,1.87,1.423,1.253
96195,8.68,7.671,8.115,7.893,0.787,6.72,1.96,1.009,0.565
765344,7.86,7.612,7.109,7.3605,0.4995,6.72,1.14,0.248,0.751
62759,9.27,8.607,7.669,8.138,1.132,6.72,2.55,0.663,1.601
532274,9.71,7.58,7.302,7.441,2.269,6.72,2.99,2.13,2.408
32598144,8.4,8.404,8.433,8.4185,0.0185,6.72,1.68,0.004,0.033
38380084,8.44,8.429,8.435,8.432,0.008,6.72,1.72,0.011,0.005
32598133,8.86,8.507,8.959,8.733,0.127,6.72,2.14,0.353,0.099
106887,6.56,4.709,5.288,4.9985,1.5615,6.72,0.16,1.851,1.272
111842,5.81,5.252,7.196,6.224,0.414,6.72,0.91,0.558,1.386
75376,3.22,4.433,,4.433,1.213,6.72,3.5,1.213,3.22
110543,5.09,5.286,5.415,5.3505,0.2605,6.72,1.63,0.196,0.325
108101,4.52,5.115,5.51,5.3125,0.7925,6.72,2.2,0.595,0.99
76131,3.79,6.623,6.753,6.688,2.898,6.72,2.93,2.833,2.963
111762,4.87,5.865,6.489,6.177,1.307,6.72,1.85,0.995,1.619
75070,6.69,5.914,6.57,6.242,0.448,6.72,0.03,0.776,0.12
115071,4.15,6.101,6.231,6.166,2.016,6.72,2.57,1.951,2.081
25013154,6.47,5.666,5.845,5.7555,0.7145,6.72,0.25,0.804,0.625
106423,6.03,5.813,5.756,5.7845,0.2455,6.72,0.69,0.217,0.274
75694,5.29,6.337,,6.337,1.047,6.72,1.43,1.047,5.29
95636,7.23,6.337,6.354,6.3455,0.8845,6.72,0.51,0.893,0.876
111159,6.34,7.15,7.889,7.5195,1.1795,6.72,0.38,0.81,1.549
108952,5.67,7.12,6.478,6.799,1.129,6.72,1.05,1.45,0.808
110496,8.07,6.966,6.826,6.896,1.174,6.72,1.35,1.104,1.244
76062,8.61,7.318,7.354,7.336,1.274,6.72,1.89,1.292,1.256
107051,7.88,7.518,6.772,7.145,0.735,6.72,1.16,0.362,1.108
75218,6.17,7.482,6.34,6.911,0.741,6.72,0.55,1.312,0.17
107211,5.19,7.661,7.355,7.508,2.318,6.72,1.53,2.471,2.165
96128,9.07,7.562,7.849,7.7055,1.3645,6.72,2.35,1.508,1.221
88733,10.2,7.696,8.374,8.035,2.165,6.72,3.48,2.504,1.826
91203,7.63,7.114,6.732,6.923,0.707,6.72,0.91,0.516,0.898
96184,8.69,8.045,8.248,8.1465,0.5435,6.72,1.97,0.645,0.442
74472370,8.4,8.394,8.453,8.4235,0.0235,6.72,1.68,0.006,0.053
69782907,8.44,8.423,8.42,8.4215,0.0185,6.72,1.72,0.017,0.02
70362504,9.35,8.464,8.649,8.5565,0.7935,6.72,2.63,0.886,0.701
101779,7,8.608,8.459,8.5335,1.5335,6.72,0.28,1.608,1.459
86500,7.5,9.046,8.561,8.8035,1.3035,6.72,0.78,1.546,1.061
100016,7.36,8.875,8.576,8.7255,1.3655,6.72,0.64,1.515,1.216
98828,5.48,4.91,6.147,5.5285,0.0485,6.72,1.24,0.57,0.667
108941,5.15,5.116,5.77,5.443,0.293,6.72,1.57,0.034,0.62
75456,3.24,5.72,,5.72,2.48,6.72,3.48,2.48,3.24
75058,5.83,6.896,6.342,6.619,0.789,6.72,0.89,1.066,0.512
75003,3.81,5.968,6.142,6.055,2.245,6.72,2.91,2.158,2.332
109864,6.58,5.978,5.713,5.8455,0.7345,6.72,0.14,0.602,0.867
78933,4.16,5.678,5.836,5.757,1.597,6.72,2.56,1.518,1.676
526738,7.38,6.455,6.611,6.533,0.847,6.72,0.66,0.925,0.769
1330207,6.03,6.128,5.927,6.0275,0.0025,6.72,0.69,0.098,0.103
109999,4.56,5.752,6.049,5.9005,1.3405,6.72,2.16,1.192,1.489
56235,6.18,6.694,,6.694,0.514,6.72,0.54,0.514,6.18
111693,7.26,6.715,6.955,6.835,0.425,6.72,0.54,0.545,0.305
75354,5.68,6.568,,6.568,0.888,6.72,1.04,0.888,5.68
106467,5.26,6.982,6.493,6.7375,1.4775,6.72,1.46,1.722,1.233
57125,7.51,6.713,6.304,6.5085,1.0015,6.72,0.79,0.797,1.206
111308,9.1,5.958,6.838,6.398,2.702,6.72,2.38,3.142,2.262
822060,10.23,6.598,7.819,7.2085,3.0215,6.72,3.51,3.632,2.411
108907,6.35,7.363,6.448,6.9055,0.5555,6.72,0.37,1.013,0.098
120821,7.95,7.673,7.729,7.701,0.249,6.72,1.23,0.277,0.221
101688,8.62,7.361,7.796,7.5785,1.0415,6.72,1.9,1.259,0.824
624839,7.76,7.35,6.816,7.083,0.677,6.72,1.04,0.41,0.944
107186,8.76,7.078,7.047,7.0625,1.6975,6.72,2.04,1.682,1.713
100425,5.02,7.387,5.989,6.688,1.668,6.72,1.7,2.367,0.969
75525,6.48,7.496,,7.496,1.016,6.72,0.24,1.016,6.48
100447,8.1,7.874,6.572,7.223,0.877,6.72,1.38,0.226,1.528
60344,9.36,7.817,6.368,7.0925,2.2675,6.72,2.64,1.543,2.992
542756,6.74,7.935,7.554,7.7445,1.0045,6.72,0.02,1.195,0.814
