Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
100005,6.2,4.671,4.344,4.5075,1.6925,4.80,1.396078029,1.529,1.856
100210,3.07,4.134,3.807,3.9705,0.9005,4.80,1.733921971,1.064,0.737
100254,5.62,5.315,4.852,5.0835,0.5365,4.80,0.816078029,0.305,0.768
100527,2.87,3.27,3.308,3.289,0.419,4.80,1.933921971,0.4,0.438
108316,3.99,4.152,4.091,4.1215,0.1315,4.80,0.813921971,0.162,0.101
108918,3.74,3.906,3.479,3.6925,0.0475,4.80,1.063921971,0.166,0.261
109293983,4.14,4.593,4.74,4.6665,0.5265,4.80,0.663921971,0.453,0.6
109773,5.22,4.163,3.981,4.072,1.148,4.80,0.416078029,1.057,1.239
110235477,4.49,4.276,4.48,4.378,0.112,4.80,0.313921971,0.214,0.01
110488705,4.55,5.005,5.048,5.0265,0.4765,4.80,0.253921971,0.455,0.498
110861,4.9,4.424,4.074,4.249,0.651,4.80,0.096078029,0.476,0.826
1134232,5.63,4.897,5.019,4.958,0.672,4.80,0.826078029,0.733,0.611
115322,6.49,6.183,5.838,6.0105,0.4795,4.80,1.686078029,0.307,0.652
116063,7.28,4.698,4.852,4.775,2.505,4.80,2.476078029,2.582,2.428
116714466,5.65,4.692,5.19,4.941,0.709,4.80,0.846078029,0.958,0.46
118134308,5.08,4.852,5.072,4.962,0.118,4.80,0.276078029,0.228,0.008
120116883,3.53,4.848,4.94,4.894,1.364,4.80,1.273921971,1.318,1.41
120821,4.08,4.978,5.104,5.041,0.961,4.80,0.723921971,0.898,1.024
121552612,4.92,4.28,4.575,4.4275,0.4925,4.80,0.116078029,0.64,0.345
121776338,6.03,4.927,5.159,5.043,0.987,4.80,1.226078029,1.103,0.871
123308,3.34,3.827,3.73,3.7785,0.4385,4.80,1.463921971,0.487,0.39
126833178,4.25,4.397,4.742,4.5695,0.3195,4.80,0.553921971,0.147,0.492
131860338,4.35,5.15,4.789,4.9695,0.6195,4.80,0.453921971,0.8,0.439
134605644,5.6,5.002,5.068,5.035,0.565,4.80,0.796078029,0.598,0.532
13684565,4.88,4.335,4.172,4.2535,0.6265,4.80,0.076078029,0.545,0.708
138261413,4.65,4.92,5.055,4.9875,0.3375,4.80,0.153921971,0.27,0.405
143390890,3.94,4.909,4.902,4.9055,0.9655,4.80,0.863921971,0.969,0.962
144550367,4.86,4.745,4.847,4.796,0.064,4.80,0.056078029,0.115,0.013
1445756,3.38,6.602,6.531,6.5665,3.1865,4.80,1.423921971,3.222,3.151
145733,5.06,3.557,3.969,3.763,1.297,4.80,0.256078029,1.503,1.091
148185,3.76,4.55,4.436,4.493,0.733,4.80,1.043921971,0.79,0.676
149877418,5.48,4.595,4.86,4.7275,0.7525,4.80,0.676078029,0.885,0.62
153233911,4.89,5.047,5.19,5.1185,0.2285,4.80,0.086078029,0.157,0.3
158062670,4.79,4.882,4.764,4.823,0.033,4.80,0.013921971,0.092,0.026
1610180,4.18,4.858,4.826,4.842,0.662,4.80,0.623921971,0.678,0.646
163520330,4.95,4.964,4.797,4.8805,0.0695,4.80,0.146078029,0.014,0.153
1646884,6.31,4.725,4.927,4.826,1.484,4.80,1.506078029,1.585,1.383
177406687,4.59,4.778,4.995,4.8865,0.2965,4.80,0.213921971,0.188,0.405
17804352,4.76,4.386,4.376,4.381,0.379,4.80,0.043921971,0.374,0.384
178928706,5.49,4.703,5.134,4.9185,0.5715,4.80,0.686078029,0.787,0.356
19044883,4.84,5.02,4.442,4.731,0.109,4.80,0.036078029,0.18,0.398
1910425,5.76,5.039,4.363,4.701,1.059,4.80,0.956078029,0.721,1.397
