Compound ID,Observed Value,ISIDA Predicted Value,CDK Predicted Value,Consensus Prediction,Error from Consensus,Avg of Observed,Error from Avg,Error from ISIDA,Error from CDK
107211,4.49,5.933,5.868,5.9005,1.4105,7.29,2.8,1.443,1.378
96333,6.46,5.975,5.638,5.8065,0.6535,7.29,0.83,0.485,0.822
107982,5.11,5.714,5.615,5.6645,0.5545,7.29,2.18,0.604,0.505
79209,4.87,6.331,6.03,6.1805,1.3105,7.29,2.42,1.461,1.16
75569,7.76,5.879,5.807,5.843,1.917,7.29,0.47,1.881,1.953
71363,5.87,5.612,5.731,5.6715,0.1985,7.29,1.42,0.258,0.139
79107,5.16,6.434,6.151,6.2925,1.1325,7.29,2.13,1.274,0.991
109864,7.18,6.013,5.501,5.757,1.423,7.29,0.11,1.167,1.679
57556,3.58,5.892,5.749,5.8205,2.2405,7.29,3.71,2.312,2.169
1569024,5.17,5.892,6.176,6.034,0.864,7.29,2.12,0.722,1.006
591786,7.3,5.885,5.844,5.8645,1.4355,7.29,0.01,1.415,1.456
78922,4.57,6.022,5.584,5.803,1.233,7.29,2.72,1.452,1.014
141786,4.99,5.931,5.613,5.772,0.782,7.29,2.3,0.941,0.623
106423,5.72,6.297,5.918,6.1075,0.3875,7.29,1.57,0.577,0.198
108101,6.1,6.294,6.46,6.377,0.277,7.29,1.19,0.194,0.36
65850,4.48,6.098,6.288,6.193,1.713,7.29,2.81,1.618,1.808
104098488,5.74,5.938,6.076,6.007,0.267,7.29,1.55,0.198,0.336
75718,5.78,5.931,,5.931,0.151,7.29,1.51,0.151,5.78
27176870,5.81,6.088,6.097,6.0925,0.2825,7.29,1.48,0.278,0.287
98862,6.08,6.261,6.459,6.36,0.28,7.29,1.21,0.181,0.379
25155300,5.84,6.156,6.176,6.166,0.326,7.29,1.45,0.316,0.336
97632,6.1,6.228,6.017,6.1225,0.0225,7.29,1.19,0.128,0.083
1330207,5.72,6.531,6.002,6.2665,0.5465,7.29,1.57,0.811,0.282
110496,7.17,6.076,6.369,6.2225,0.9475,7.29,0.12,1.094,0.801
765344,8.26,6.471,5.9,6.1855,2.0745,7.29,0.97,1.789,2.36
126535157,7.31,6.374,6.607,6.4905,0.8195,7.29,0.02,0.936,0.703
81334341,5.02,6.052,6.352,6.202,1.182,7.29,2.27,1.032,1.332
213464778,6.93,6.512,6.127,6.3195,0.6105,7.29,0.36,0.418,0.803
